Level,Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Spike_Conc,mean_Intensity,std_Intensity,SMILES,Molar_Conc,Intensity,Response_Factor,Log_Pred_Ionization_Eff,Log_Pred_Response_Factor,Predicted_Conc,Predicted_Conc_uM
High,Esi+,DTXSID2047359,SSR180711,DTXCID0027359,C14H17BrN2O2,324.047341,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,3.33,0,,,0.49,22701012,,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,,22701012,,2.536399246,13.45511278,7.96036E-07,0.796035512
Mid,Esi+,DTXSID2047359,SSR180711,DTXCID0027359,C14H17BrN2O2,324.047341,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,3.33,0,,,0.122,8349611,,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,,8349611,,2.536399246,13.45511278,2.92788E-07,0.292788131
Low,Esi+,DTXSID2047359,SSR180711,DTXCID0027359,C14H17BrN2O2,324.047341,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,3.33,0,,,0.024,1518971,,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,,1518971,,2.536399246,13.45511278,5.32644E-08,0.053264359
High,Esi+,DTXSID9047257,Zamifenacin,DTXCID20197345,C27H29NO3,415.2147438,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,9.98,0,,,0.49,44587744,,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,,44587744,,4.082270031,14.06277487,3.8587E-07,0.385869653
Mid,Esi+,DTXSID9047257,Zamifenacin,DTXCID20197345,C27H29NO3,415.2147438,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,9.98,0,,,0.122,15044146,,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,,15044146,,4.082270031,14.06277487,1.30195E-07,0.130194508
Low,Esi+,DTXSID9047257,Zamifenacin,DTXCID20197345,C27H29NO3,415.2147438,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,9.98,0,,,0.024,2218426,,C(CC1=CC=C2OCOC2=C1)N1CCCC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,,2218426,,4.082270031,14.06277487,1.91986E-08,0.019198623
High,Esi+,DTXSID7042356,2-(3-Phenylpropyl)pyridine,DTXCID5022356,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=CC=N1,8.37,0,,,0.49,22550516,,C(CC1=CC=CC=C1)CC1=CC=CC=N1,,22550516,,2.457790662,13.42421274,8.4907E-07,0.849070477
Mid,Esi+,DTXSID7042356,2-(3-Phenylpropyl)pyridine,DTXCID5022356,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=CC=N1,8.37,0,,,0.122,7021664,,C(CC1=CC=CC=C1)CC1=CC=CC=N1,,7021664,,2.457790662,13.42421274,2.64379E-07,0.26437921
Low,Esi+,DTXSID7042356,2-(3-Phenylpropyl)pyridine,DTXCID5022356,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=CC=N1,8.37,0,,,0.024,1420276,,C(CC1=CC=CC=C1)CC1=CC=CC=N1,,1420276,,2.457790662,13.42421274,5.34761E-08,0.053476134
High,Esi+,DTXSID5044869,4-(3-Phenylpropyl)pyridine,DTXCID3024869,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=NC=C1,8.53,0,,,0.49,30301556,,C(CC1=CC=CC=C1)CC1=CC=NC=C1,,30301556,,2.860067775,13.58234275,7.92724E-07,0.79272432
Mid,Esi+,DTXSID5044869,4-(3-Phenylpropyl)pyridine,DTXCID3024869,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=NC=C1,8.53,0,,,0.122,8196702,,C(CC1=CC=CC=C1)CC1=CC=NC=C1,,8196702,,2.860067775,13.58234275,2.14435E-07,0.214435358
Low,Esi+,DTXSID5044869,4-(3-Phenylpropyl)pyridine,DTXCID3024869,C14H15N,197.1204495,C(CC1=CC=CC=C1)CC1=CC=NC=C1,8.53,0,,,0.024,1840825,,C(CC1=CC=CC=C1)CC1=CC=NC=C1,,1840825,,2.860067775,13.58234275,4.81581E-08,0.048158146
High,Esi+,DTXSID5047031,Tribenzylamine,DTXCID3027031,C21H21N,287.1673997,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,14.09,0,,,0.49,104256176,,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,,104256176,,3.864589828,13.97720756,1.09874E-06,1.098738216
Mid,Esi+,DTXSID5047031,Tribenzylamine,DTXCID3027031,C21H21N,287.1673997,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,14.09,0,,,0.122,27287618,,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,,27287618,,3.864589828,13.97720756,2.8758E-07,0.287579594
Low,Esi+,DTXSID5047031,Tribenzylamine,DTXCID3027031,C21H21N,287.1673997,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,14.09,0,,,0.024,5254958,,C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1,,5254958,,3.864589828,13.97720756,5.53811E-08,0.055381114
High,Esi+,DTXSID7032630,N-Benzyladenine,DTXCID5012630,C12H11N5,225.1014454,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,3.34,0,,,0.49,52330668,,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,,52330668,,3.278449686,13.74680334,9.3746E-07,0.937460407
Mid,Esi+,DTXSID7032630,N-Benzyladenine,DTXCID5012630,C12H11N5,225.1014454,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,3.34,0,,,0.122,15296632,,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,,15296632,,3.278449686,13.74680334,2.74026E-07,0.274026444
Low,Esi+,DTXSID7032630,N-Benzyladenine,DTXCID5012630,C12H11N5,225.1014454,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,3.34,0,,,0.024,2748522,,C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,,2748522,,3.278449686,13.74680334,4.92375E-08,0.049237486
High,Esi+,DTXSID8038801,N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine,DTXCID6018801,C17H19N5O,309.1589603,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,6.35,0,,,0.49,42860676,,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,,42860676,,3.16879472,13.70369937,8.47929E-07,0.847929298
Mid,Esi+,DTXSID8038801,N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine,DTXCID6018801,C17H19N5O,309.1589603,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,6.35,0,,,0.122,11563456,,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,,11563456,,3.16879472,13.70369937,2.28764E-07,0.228764314
Low,Esi+,DTXSID8038801,N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine,DTXCID6018801,C17H19N5O,309.1589603,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,6.35,0,,,0.024,2113477,,C(NC1=NC=NC2=C1N=CN2C1CCCCO1)C1=CC=CC=C1,,2113477,,3.16879472,13.70369937,4.18117E-08,0.041811731
High,Esi+,DTXSID6044355,Dibenzylamine,DTXCID4024355,C14H15N,197.1204495,C(NCC1=CC=CC=C1)C1=CC=CC=C1,2.33,0,,,0.392,23740836,,C(NCC1=CC=CC=C1)C1=CC=CC=C1,,23740836,,3.429883333,13.80632998,3.70822E-07,0.370822458
Mid,Esi+,DTXSID6044355,Dibenzylamine,DTXCID4024355,C14H15N,197.1204495,C(NCC1=CC=CC=C1)C1=CC=CC=C1,2.33,0,,,0.0976,7125363,,C(NCC1=CC=CC=C1)C1=CC=CC=C1,,7125363,,3.429883333,13.80632998,1.11295E-07,0.111295349
Low,Esi+,DTXSID6044355,Dibenzylamine,DTXCID4024355,C14H15N,197.1204495,C(NCC1=CC=CC=C1)C1=CC=CC=C1,2.33,0,,,0.0192,,,C(NCC1=CC=CC=C1)C1=CC=CC=C1,,,,3.429883333,13.80632998,,
High,Esi+,DTXSID2024585,Benzo(f)quinoline,DTXCID804585,C13H9N,179.0734993,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,6.17,0,,,0.49,18365226,,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,0.00000049,18365226,3.74801E+13,3.02761182,13.64820218,4.12852E-07,0.412851722
Mid,Esi+,DTXSID2024585,Benzo(f)quinoline,DTXCID804585,C13H9N,179.0734993,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,6.17,0,,,0.122,5440676,,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,0.000000122,5440676,4.45957E+13,3.02761182,13.64820218,1.22307E-07,0.122306824
Low,Esi+,DTXSID2024585,Benzo(f)quinoline,DTXCID804585,C13H9N,179.0734993,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,6.17,0,,,0.024,978433,,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,0.000000024,978433,4.0768E+13,3.02761182,13.64820218,2.19953E-08,0.021995251
High,Esi+,DTXSID5044940,"Octahydro-1H-4,7-methanoindene-1,5-diyldimethanediyl bisprop-2-enoate",DTXCID3024940,C18H24O4,304.1674593,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,11.35,0,,,0.49,7415010,,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,,7415010,,3.990499545,14.02670107,6.97286E-08,0.069728557
Mid,Esi+,DTXSID5044940,"Octahydro-1H-4,7-methanoindene-1,5-diyldimethanediyl bisprop-2-enoate",DTXCID3024940,C18H24O4,304.1674593,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,11.35,0,,,0.122,2332422,,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,,2332422,,3.990499545,14.02670107,2.19334E-08,0.021933405
Low,Esi+,DTXSID5044940,"Octahydro-1H-4,7-methanoindene-1,5-diyldimethanediyl bisprop-2-enoate",DTXCID3024940,C18H24O4,304.1674593,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,11.35,0,,,0.024,512966,,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12,,512966,,3.990499545,14.02670107,4.82378E-09,0.00482378
High,Esi+,DTXSID4044901,Triallyl trimellitate,DTXCID2024901,C18H18O6,330.1103383,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,10.06,0,,,0.49,9170696,,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,,9170696,,2.221084761,13.33116667,4.27795E-07,0.427794922
Mid,Esi+,DTXSID4044901,Triallyl trimellitate,DTXCID2024901,C18H18O6,330.1103383,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,10.06,0,,,0.122,3807898,,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C,,3807898,,2.221084761,13.33116667,1.77631E-07,0.177630948
