Ionization_Mode,DTXSID,Preferred_Name,MS_READY_DTXCID,MS_READY_FORMULA,MS_READY_MONOISOTOPIC_MASS,MS_READY_SMILES,mean_RT,Observed_Isomer,Isomer_Number,Isomer_Order,Corrected_HighConc,Corrected_MidConc,Corrected_LowConc,mean_High_Intensity,mean_Mid_Intensity,mean_Low_Intensity,std_High_Intensity,std_Mid_Intensity,std_Low_Intensity
Esi-,DTXSID0020022,Acifluorfen,DTXCID6022,C14H7ClF3NO5,360.9964845,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,6.03,0,,,0.49,0.122,0.024,358515,118435,,,,
Esi-,DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",DTXCID80442,C8H6Cl2O3,219.9693995,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,2.38,0,,,0.49,0.122,0.024,1985741,433322,78237,,,
Esi-,DTXSID0020523,"2,4-Dinitrophenol",DTXCID80523,C6H4N2O5,184.0120212,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,0.73,0,,,0.49,0.122,0.024,4419241,1177468,206675,,,
Esi-,DTXSID0020577,Ethionamide,DTXCID00577,C8H10N2S,166.0564695,CCC1=NC=CC(=C1)C(N)=S,1.8,0,,,0.49,0.122,0.024,2515290,741203,112162,,,
Esi-,DTXSID0020656,Gibberellic acid,DTXCID50196841,C19H22O6,346.1416384,CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O,0.71,0,,,0.49,0.122,0.024,86585,,,,,
Esi-,DTXSID0021123,Phenobarbital sodium,DTXCID60196670,C12H12N2O3,232.0847923,CCC1(C(=O)NC(O)=NC1=O)c1ccccc1,2.5,0,,,0.49,0.122,0.024,462509,187932,,,,
Esi-,DTXSID0021125,Phenolphthalein,DTXCID901125,C20H14O4,318.0892089,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,5.11,0,,,0.49,0.122,0.024,2353052,546767,95721,,,
Esi-,DTXSID0021256,Sulfasalazine,DTXCID80809755,C18H14N4O5S,398.0684907,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1,3.22,0,,,0.49,0.122,0.024,2880766,980577,206366,1438947,906029,199754
Esi-,DTXSID0021460,Zearalenone,DTXCID70810037,C18H22O5,318.1467238,CC1CCCC(=O)CCCC=CC2=CC(O)=CC(O)=C2C(=O)O1,7.97,0,,,0.49,0.122,0.024,8968045,3660856,743335,,,
Esi-,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,DTXCID301969,C8H8O3,152.0473441,COC1=C(O)C=CC(C=O)=C1,1.14,0,,,0.732,0.244,0.061,863910,296310,72020,,,
Esi-,DTXSID0022353,2-Chloro-4-phenylphenol,DTXCID502353,C12H9ClO,204.0341926,OC1=CC(Cl)=C(C=C1)C1=CC=CC=C1,8.2,0,,,0.49,0.122,0.024,636517,161394,,,,
Esi-,DTXSID0025812,Olivetol,DTXCID205812,C11H16O2,180.1150298,CCCCCC1=CC(O)=CC(O)=C1,6.61,0,,,0.49,0.122,0.024,94850,45138,,,,
Esi-,DTXSID0027981,"4-Amino-6-tert-butyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one",DTXCID001319369,C7H12N4OS,200.0731822,CC(C)(C)C1N=NC(=S)N(N)C1=O,3.09,0,,,0.49,0.122,0.024,1484938,422157,46635,,,
Esi-,DTXSID0029133,4-Hydroxyacetophenone,DTXCID209133,C8H8O2,136.0524295,CC(=O)C1=CC=C(O)C=C1,1.29,0,,,0.49,0.122,0.024,2997813,827478,142955,,,
Esi-,DTXSID0032497,Triclopyr,DTXCID8012497,C7H4Cl3NO3,254.9256761,OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1,2.71,0,,,0.732,0.244,0.061,850403,277693,56733,,,
Esi-,DTXSID0034803,Penoxsulam,DTXCID8014803,C16H14F5N5O5S,483.0635806,COC1=CN=C(OC)N2N=C(NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)N=C12,3.26,0,,,0.49,0.122,0.024,345630,90610,,,,
Esi-,DTXSID0037237,Glybenclamide,DTXCID8017237,C23H28ClN3O5S,493.1438199,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,8.34,0,,,0.49,0.122,0.024,567602,185419,35036,,,
Esi-,DTXSID0037576,Monolinuron,DTXCID8017576,C9H11ClN2O2,214.0509053,CON(C)C(=O)NC1=CC=C(Cl)C=C1,4.47,0,,,0.732,0.244,0.061,123790,43179,,,,
Esi-,DTXSID0038887,Fluorescein,DTXCID8018887,C20H12O5,332.0684735,OC1=CC2=C(C=C1)C1(OC(=O)C3=C1C=CC=C3)C1=C(O2)C=C(O)C=C1,3.44,0,,,0.49,0.122,0.024,1794003,405208,,,,
Esi-,DTXSID0040676,Glipizide,DTXCID8020676,C21H27N5O4S,445.1783755,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,5.3,0,,,0.196,0.0488,0.0096,170197,55805,,,,
Esi-,DTXSID0040705,Cinchophen,DTXCID8020705,C16H11NO2,249.0789786,OC(=O)C1=C2C=CC=CC2=NC(=C1)C1=CC=CC=C1,2.08,0,,,0.49,0.122,0.024,472329,99932,,49806,557,
Esi-,DTXSID0041197,(Z)-Hexadec-9-enoic acid,DTXCID3021564,C16H30O2,254.2245802,CCCCCCC=CCCCCCCCC(O)=O,13.41,0,,,0.49,0.122,0.024,1603729,399804,69819,,,
Esi-,DTXSID0041567,"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid",DTXCID60809697,C18H34O3,298.250795,CCCCCCC(O)CC=CCCCCCCCC(O)=O,11.68,0,,,0.49,0.122,0.024,2838366,828967,243964,,,
Esi-,DTXSID0044654,Labetalol hydrochloride,DTXCID603191,C19H24N2O3,328.1786926,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O,2.99,0,,,0.49,0.122,0.024,1312540,485188,101559,,,
Esi-,DTXSID0044862,Undecanedioic acid,DTXCID8024862,C11H20O4,216.1361591,OC(=O)CCCCCCCCCC(O)=O,0.81,0,,,0.49,0.122,0.024,680288,212910,48718,,,
Esi-,DTXSID0047290,UK-416244,DTXCID8027290,C17H22N2O3S2,366.1071849,CSC1=CC=C(OC2=CC=C(C=C2CN(C)C)S(N)(=O)=O)C=C1C,4.7,0,,,0.49,0.122,0.024,202642,,,,,
Esi-,DTXSID0047296,Zenarestat,DTXCID8027296,C17H11BrClFN2O4,439.957476,OC(=O)CN1C(=O)N(CC2=CC=C(Br)C=C2F)C(=O)C2=C1C=C(Cl)C=C2,6.89,0,,,0.245,0.061,0.012,688866,231509,39717,,,
Esi-,DTXSID0047327,MK-578,DTXCID80210221,C35H47FN4O2,574.3683049,CCN1N=C(CC2=CC=CC=C2)C=C1C1CCN(CC2CC(CC2C2=CC=CC(F)=C2)N(C)C(C(C)C)C(O)=O)CC1,8.07,0,,,0.441,0.1098,0.0216,263769,93223,,,,
Esi-,DTXSID0047377,AVE6324,DTXCID10197213,C31H35ClN4O7S,642.1914984,CCOC(=O)OC(C)OC(=O)c1ccc2n(Cc3cc(on3)-c3ccc(Cl)s3)c(cc2c1)C(=O)NC1CCN(CC1)C(C)C,10.43,0,,,0.49,0.122,0.024,161561,69897,,,,
Esi-,DTXSID0047957,Octylparaben,DTXCID0027933,C15H22O3,250.1568946,CCCCCCCCOC(=O)C1=CC=C(O)C=C1,11.83,0,,,0.49,0.122,0.024,16824424,6975511,1202634,,,
Esi-,DTXSID0048185,Apomorphine hydrochloride hydrate,DTXCID20196878,C17H17NO2,267.1259288,CN1CCC2=CC=CC3=C2C1CC1=C3C(O)=C(O)C=C1,2.72,0,,,0.196,0.0488,0.0096,150748,,,,,
Esi-,DTXSID0048505,PharmaGSID_48505,DTXCID3028479,C17H12ClN5O2,353.0679523,CC1=C2N=C(C3=CC=CC=C3Cl)C3=C(NC2=NN1)C=CC(=C3)[N+]([O-])=O,7.78,0,,,0.49,0.122,0.024,861936,234746,57421,,,
